customer_id,gstin,legal_name,trade_name,gst_status,gst_registration_date,gst_return_period,return_type,return_filing_date,return_status,filing_frequency,filing_delay_days,gstr1_sales_value,gstr3b_taxable_outward_supply,gstr3b_net_tax_liability,total_taxable_turnover,b2b_sales_amount,b2c_sales_amount,b2b_sales_percentage,b2c_sales_percentage,export_sales_amount,sez_sales_amount,reverse_charge_sales_amount,igst_amount,cgst_amount,sgst_amount,cess_amount,itc_available_amount,itc_claimed_amount,itc_reversed_amount,net_itc_amount,unique_buyer_count,unique_b2b_buyer_count,top_buyer_sales_percentage,buyer_concentration_level,monthly_turnover,quarterly_turnover,turnover_growth_mom,turnover_growth_qoq,turnover_growth_yoy,turnover_decline_percentage,consecutive_declining_quarters,filing_regularity_percentage,missed_return_count,late_return_count,business_vintage_years,annualised_gst_turnover,proposed_loan_amount,gst_turnover_to_loan_ratio,maximum_loan_by_gst_rule,gst_data_completeness_score,gst_risk_flag,gst_underwriting_score
CUSTGST0000001,27ABCDE000000FZ1,Retail Enterprises 1000,Retail Trade 1000,CANCELLED,2022-11-16,2025-06,GSTR1,2025-06-04,LATE,MONTHLY,10,1021163.8551,1029226.4099,81209.9853,1029226.4099,382730.2542,685888.7534,35.8154,64.1846,128971.4142,46497.4109,27605.7065,23636.4819,28473.7868,28473.7868,625.9298,46569.876,44664.171,914.3605,43749.8105,215,119,9.0746,LOW,1068619.0076,3211249.4636,9.3421,14.8785,-4.9833,4.9833,4,82.9951,3,0,4.6142,12823428.0909,9710027.831,1.3206,6622608.3641,0.9975,LOW,75.307
CUSTGST0000002,09ABCDE000001FZ2,Wholesale Enterprises 1001,Wholesale Trade 1001,ACTIVE,2020-03-02,2025-11,GSTR1,2025-11-03,FILED,MONTHLY,0,291844.2223,296912.0066,44605.6307,296912.0066,256329.7552,68191.9627,78.9869,21.0131,51021.7665,11878.4264,3478.0307,8825.3474,16516.1573,16516.1573,2747.9687,31183.6545,28643.1477,815.0984,27828.0493,136,68,35.6319,MEDIUM,324521.7179,1030832.0094,9.402,-0.5324,11.8266,0.0,1,98.0,0,1,6.1948,3894260.6147,2918154.0463,1.3345,2456970.0572,0.962,LOW,93.1263
CUSTGST0000003,29ABCDE000002FZ3,Manufacturing Enterprises 1002,Manufacturing Trade 1002,ACTIVE,2020-12-11,2025-12,GSTR1,2025-12-09,FILED,MONTHLY,0,253750.4307,255206.2932,25592.1506,255206.2932,243531.423,38880.887,86.2326,13.7674,48546.2181,6824.2404,6694.433,3433.3989,10847.8165,10847.8165,463.1187,29565.1754,23832.873,2223.8223,21609.0507,80,69,30.8743,MEDIUM,282412.31,820295.9992,-5.2821,-13.3851,15.8732,0.0,0,99.0,3,1,6.5416,3388947.72,1452744.8226,2.3328,1216883.4533,0.9712,LOW,71.3717
CUSTGST0000004,07ABCDE000003FZ4,Technology Enterprises 1003,Technology Trade 1003,ACTIVE,2023-08-16,2024-01,GSTR1,2024-01-25,FILED,MONTHLY,0,476277.4544,472624.0739,33581.6354,472624.0739,451030.2501,62070.0864,87.9029,12.0971,24630.1471,5904.5107,19427.4261,3960.8904,12694.7119,12694.7119,4231.3212,30949.2497,23356.1425,3673.9263,19682.2162,31,29,54.5063,HIGH,513100.3364,1588148.7509,19.0382,3.7765,-6.6552,6.6552,3,97.0,0,0,3.8767,6157204.0373,2319145.9411,2.6549,3626439.081,0.987,LOW,82.8661
CUSTGST0000005,24ABCDE000004FZ5,Construction Enterprises 1004,Construction Trade 1004,ACTIVE,2020-10-09,2025-04,GSTR1,2025-04-09,LATE,MONTHLY,5,225230.7712,226950.5295,33020.5802,226950.5295,127194.1453,110959.4566,53.4084,46.5916,553.0161,1126.1494,5222.81,5594.9381,13432.6795,13432.6795,560.2831,17748.8053,15620.1351,1471.653,14148.4821,222,216,22.6617,LOW,238153.6019,671599.8813,18.297,-3.4878,-18.7136,18.7136,1,86.3193,2,2,6.4535,2857843.2224,1878850.3861,1.5211,1728336.7828,0.959,MEDIUM,61.348
CUSTGST0000006,33ABCDE000005FZ6,Logistics Enterprises 1005,Logistics Trade 1005,ACTIVE,2015-05-05,2025-08,GSTR1,2025-08-25,LATE,MONTHLY,5,168472.4535,168289.6164,25747.5512,168289.6164,162163.3639,21038.7199,88.5161,11.4839,14488.0037,6184.0142,3207.703,7706.2995,8407.3754,8407.3754,1226.5009,22586.029,18783.8881,2961.7219,15822.1662,146,137,39.3333,MEDIUM,183202.0838,542356.8284,11.8618,-7.7086,-5.3071,5.3071,4,91.1984,1,1,11.4593,2198425.0058,759764.5657,2.8936,879537.8426,0.959,LOW,84.5194
CUSTGST0000007,19ABCDE000006FZ7,Food Enterprises 1006,Food Trade 1006,ACTIVE,2018-11-19,2024-05,GSTR1,2024-05-23,FILED,MONTHLY,0,1323749.349,1288464.4977,173349.9954,1288464.4977,989149.6859,363765.6056,73.1125,26.8875,137437.1829,21293.1278,5878.3051,37352.2445,65432.5758,65432.5758,5132.5993,50380.1335,47022.6996,79.4615,46943.2382,216,86,13.9895,LOW,1352915.2916,4078554.5677,-8.1925,7.0973,-8.5545,8.5545,3,96.0,3,1,8.2048,16234983.4988,9123042.1662,1.7796,6443927.8079,0.9631,LOW,67.9638
CUSTGST0000008,23ABCDE000007FZ8,Pharma Enterprises 1007,Pharma Trade 1007,ACTIVE,2024-10-09,2026-12,GSTR1,2026-12-01,LATE,MONTHLY,10,290201.4711,284736.7325,43398.485,284736.7325,267307.4696,38700.6405,87.3531,12.6469,30351.4693,6764.1974,9069.4703,18170.1354,11984.0904,11984.0904,1260.1687,13376.2349,11611.4477,1504.5808,10106.8669,31,25,42.9248,MEDIUM,306008.1101,858783.2385,3.6524,-7.5692,-13.3461,13.3461,3,88.3479,1,3,2.8225,3672097.3216,1707936.3416,2.15,2122094.3797,0.9622,MEDIUM,63.5849
CUSTGST0000009,06ABCDE000008FZ9,Retail Enterprises 1008,Retail Trade 1008,ACTIVE,2022-07-25,2024-04,GSTR1,2024-04-27,LATE,QUARTERLY,3,285156.246,288455.9704,36160.8002,288455.9704,201252.3238,119664.049,62.7118,37.2882,55698.1082,3251.2996,660.5777,11531.4438,12162.9929,12162.9929,303.3706,27059.8078,23082.6963,3393.8041,19688.8922,33,12,25.7966,MEDIUM,320916.3728,939254.0609,-4.4328,5.1688,10.8814,0.0,1,94.9152,2,2,4.3286,3850996.4737,2458584.6153,1.5663,2248836.2854,0.9566,LOW,76.671
CUSTGST0000010,36ABCDE000009FZ1,Wholesale Enterprises 1009,Wholesale Trade 1009,ACTIVE,2018-07-11,2024-07,GSTR1,2024-07-19,LATE,MONTHLY,15,299362.0033,301912.5089,30193.7747,301912.5089,227919.5861,98073.9126,69.9154,30.0846,46933.4449,8466.5809,4847.5996,6753.7524,10743.7758,10743.7758,1952.4708,38372.2416,34680.1602,923.9495,33756.2107,56,32,28.6746,MEDIUM,325993.4987,944450.0054,17.1037,-11.0837,-23.4144,23.4144,2,79.2232,3,2,8.5033,3911921.9841,1999238.629,1.9567,942581.9167,0.9848,MEDIUM,49.5564
CUSTGST0000011,27ABCDE000010FZ2,Manufacturing Enterprises 1010,Manufacturing Trade 1010,ACTIVE,2017-05-05,2025-05,GSTR3B,2025-05-17,LATE,MONTHLY,1,1067647.3136,1067231.8891,124438.9634,1067231.8891,659179.8528,466130.2273,58.5776,41.4224,154244.3675,22193.8609,22167.018,28436.9076,47306.1768,47306.1768,1389.7023,118696.6419,90100.7433,17019.3584,73081.3848,207,185,15.6221,LOW,1125310.0801,3202945.2635,4.5812,-7.1266,19.2871,0.0,1,97.8402,2,4,9.5267,13503720.9614,10557687.7428,1.279,8333230.105,0.9969,LOW,69.1548
CUSTGST0000012,09ABCDE000011FZ3,Technology Enterprises 1011,Technology Trade 1011,ACTIVE,2015-12-14,2026-03,GSTR1,2026-03-23,LATE,MONTHLY,2,886878.7433,872324.2846,110758.7649,872324.2846,472766.4886,495057.3364,48.8484,51.1516,24795.8303,47165.0337,33675.497,19745.0348,44715.1986,44715.1986,1583.333,61199.299,53762.5146,1709.2112,52053.3035,72,5,15.2497,LOW,967823.825,2803055.3432,13.1469,26.7422,14.3037,0.0,0,95.7125,0,3,11.1465,11613885.9,4446404.1284,2.612,3573796.1962,0.9908,LOW,87.5074
CUSTGST0000013,29ABCDE000012FZ4,Construction Enterprises 1012,Construction Trade 1012,ACTIVE,2018-02-23,2024-05,GSTR1,2024-05-24,FILED,MONTHLY,0,585279.6785,601454.6931,90847.5423,601454.6931,398795.3626,229586.9921,63.4638,36.5362,15131.0088,12323.6555,2790.4479,9762.5366,37687.7484,37687.7484,5709.5089,37726.3719,35202.1776,367.3928,34834.7847,181,143,7.6338,LOW,628382.3547,1850953.6911,14.0068,3.6669,10.5187,0.0,0,95.0,1,1,8.6164,7540588.2565,2872269.6131,2.6253,2801737.3228,0.9883,LOW,86.7312
CUSTGST0000014,07ABCDE000013FZ5,Logistics Enterprises 1013,Logistics Trade 1013,ACTIVE,2023-05-27,2026-06,GSTR3B,2026-06-14,FILED,MONTHLY,0,488715.2202,484726.5537,88138.0413,484726.5537,221555.4194,305723.1667,42.0187,57.9813,26124.2661,30958.9747,10043.9217,31715.5705,27686.4711,27686.4711,1049.5287,65496.3243,56640.8658,486.0919,56154.7739,138,99,27.3246,MEDIUM,527278.586,1577775.9572,5.8868,0.7196,12.3091,0.0,0,99.0,0,0,3.7199,6327343.0325,3089150.0574,2.0482,3038882.92,0.9674,LOW,100.0
CUSTGST0000015,24ABCDE000014FZ6,Food Enterprises 1014,Food Trade 1014,ACTIVE,2024-06-09,2026-02,GSTR1,2026-02-02,FILED,MONTHLY,0,1078724.3543,1065319.8466,167404.7527,1065319.8466,648026.0553,481304.8545,57.3814,42.6186,15587.9726,66316.1304,13690.4807,58090.2205,52963.4057,52963.4057,3387.7208,111535.5546,101061.1529,9744.1151,91317.0378,187,81,13.4476,LOW,1129330.9098,3053220.3259,18.2116,9.3884,23.9269,0.0,0,99.0,0,0,2.6419,13551970.918,2810093.6318,4.8226,3855082.5438,0.956,LOW,99.6616
CUSTGST0000016,33ABCDE000015FZ7,Pharma Enterprises 1015,Pharma Trade 1015,ACTIVE,2021-01-06,2025-03,GSTR1,2025-03-13,LATE,MONTHLY,3,203426.5134,205079.0313,18371.6343,205079.0313,120057.5604,99167.2034,54.7646,45.2354,26048.1801,15620.8959,4223.2946,3683.5551,6205.7789,6205.7789,2276.5214,20371.0667,17228.7347,454.9216,16773.8131,171,6,60.3892,HIGH,219224.7638,635987.1105,-2.8896,18.1982,2.5972,0.0,0,93.9023,1,1,5.2952,2630697.1662,2115430.8081,1.2436,687477.3286,0.9814,LOW,83.3946
CUSTGST0000017,19ABCDE000016FZ8,Retail Enterprises 1016,Retail Trade 1016,ACTIVE,2024-02-14,2024-07,GSTR1,2024-07-22,LATE,MONTHLY,1,251613.3038,255163.2493,14076.7544,255163.2493,179886.9442,94966.3499,65.4483,34.5517,37315.0414,12433.0115,11521.8838,4152.3409,4362.3983,4362.3983,1199.6169,33166.892,26191.8055,1762.0483,24429.7573,15,9,10.3578,LOW,274853.2941,782657.9577,-9.5768,8.365,35.956,0.0,1,97.4153,0,1,2.468,3298239.5296,1706497.299,1.9328,1026841.3764,0.974,LOW,90.1774
CUSTGST0000018,23ABCDE000017FZ9,Wholesale Enterprises 1017,Wholesale Trade 1017,ACTIVE,2020-03-10,2026-05,GSTR3B,2026-05-10,LATE,MONTHLY,2,1077734.6338,1069496.8146,123735.9356,1069496.8146,617262.1667,471423.045,56.6979,43.3021,18341.8645,83114.5656,36897.8175,50134.3794,32142.4973,32142.4973,9316.5616,64093.107,57920.3871,5346.9924,52573.3947,22,3,29.8276,MEDIUM,1088685.2117,3380673.3692,6.3464,3.4844,26.1961,0.0,1,94.5303,1,2,6.899,13064222.5405,5018097.8152,2.6034,4455130.6827,0.9563,LOW,81.0723
